header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend
"""I still have not been reimbursed""",1,2022-08-15,"My Cape Air flight from Boston to Rutland was cancelled, only a few hours before we were supposed to travel. Cape Air first offered to refund us vouchers - which is against the law. I still have not been reimbursed, a full month later. They promised to refund me after a complaint with The Department Of Transportation - I suggest you do the same [dot.gov]. Evasive - I got a mail back stating I would be getting my money back and how this is all a misunderstanding, but that is it. They are playing that dishonest 'let's make it as hard as possible game, so that perhaps he will let it go'. It is the principle. Terrible airline.",True,,Business,Economy Class,Boston to Rutland,July 2022,,,,3,1,,False
"""Cape Air customer service is closed""",1,2022-07-21,"Thanks Cape Air! Stranded in Boston. My flight from Boston to Rutland is cancelled - I received an email from Cape Air a few hours before I was supposed to fly out. Just like that. No offer to make other arrangements, no offer of a refund, absolutely nothing. Cape Air customer service is closed. When I wrote them an email to the address found on their website it bounced!",True,,Solo Leisure,Economy Class,Boston to Rutland,July 2022,2,3,,1,1,,False
"""This airline is terrible""",1,2022-06-26,Not Verified |  This airline is terrible. We are currently stranded in an airport 3 hours away from home after the airline cancelled two flights due to crew shortage. The Cape Air agent was reluctant to arrange ground transportation despite the contractual obligation to get us to our destination. I will never use this airline again.,False,,Family Leisure,Economy Class,"Nashville, TN to Marion, IL",June 2022,1,1,,1,1,,False
"""I am very disheartened with this airline""",1,2022-06-16,"Not Verified |  Cape Air has cancelled several of our flights this winter due to ""pilot shortage"", with little advance notice. Then when I call to get a refund, they give you the option of waiting forever on hold or leaving a message. When I leave a message, they rarely call back. So I have been ""Caller Number 3"" now for the past 20 minutes, after starting at ""Caller Number 5"" about 40 minutes ago. Do they have like one live customer service agent for the whole airline? I am very disheartened with this airline, with there were other options for flying to small towns in Montana.",False,Cessna 402,Family Leisure,Economy Class,"Wolf Point, MT to Billings",June 2022,2,1,,4,2,,False
"""Problem was handled professionally and promptly!""",9,2022-05-25,Bag accidently routed to the wrong destination. Problem was handled professionally and promptly! Delivered to my home the next day with everything intact. All good. Great to have an airline service small cities. Staff very friendly and very smooth flight!,True,,Business,Economy Class,Nashville to Owensboro,May 2022,5,5,,5,5,,True
"""bad customer service""",1,2022-05-01,"Airline has a bad customer service. Clerk was not able to provide any solution to the delay on their behalf since they where not prepare to swap a plane due to pilot grounding a plane due to mechanical issue. Where waiting for over 4 hrs with no solution, the airline did not even provide any snack to customers due to their delay.",True,,Family Leisure,Premium Economy,San Juan to Culebra ,May 2022,1,1,,1,1,,False
"""the service has significantly declined""",1,2022-04-23,"We consistently use Cape Air to travel from Bos to MV. However over the years the service has significantly declined. More often we see rude employees, and and unreliable service. Flights almost never depart on time and are almost always rescheduled. We are normally flexible and can roll it, and are happy to! However we are seeing more often that a reschedule occurs less than 30 days in advance, and leaves us empty handed as our new scheduled time departs before our connecting flights even arrives. This is just standard with Cape Air now a days.",True,Cessna,Couple Leisure,Economy Class,Martha's Vineyard to Boston,April 2022,1,1,,1,1,,False
"""Awful customer service""",1,2022-04-22,"Awful customer service, stay away. I traveled with a child and had a bag delayed. I tried to talk to a representative at Logan airport to schedule my bag to be delivered to my local airport since I do not live in Boston and had to catch a train. He would not help me and just said “Next” and ignored what I was saying. He made me miss my train. I went to a JetBlue representative who found a different Cape Air representative to help me. My issue was resolved in minutes. I missed my train and was left to wait for hours with a child in a train station all because of a matter that could have been resolved in minutes. Unacceptable.",True,,Family Leisure,Economy Class,Rutland VT to Boston MA,April 2022,1,1,,1,1,,False
"""airline is so disorganized""",2,2021-09-14,This airline is so disorganized - I have flown with them many times but wish it weren’t the only option. Over those flights we have not once left on time. They should change their posted schedule to read “Maybe we'll leave sometime today. Maybe”.,True,Cessna 9 seater,Business,Economy Class,Boston to Nantucket,September 2021,2,5,,4,1,,False
"""Absolutely not reliable!""",1,2021-04-25,Pilot choose to go home and not come to work! Missed all connections on the way home. No reimbursement offered for expenses occurred besides hotel. Absolutely not reliable!,True,NA,Solo Leisure,Economy Class,Culebra to San Juan,April 2021,1,1,,1,1,,False
