header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend
"""These guys are terrible""",1,2022-06-26,"Not Verified |  Absolutely dreadful. These guys are terrible, they have zero care for customers. Flights cancelled without detail and no communication. This is a normal practice for them. Can't express my disgust with these guys, they have no consideration at all,",False,,Business,Economy Class,Echo to Darwin,June 2022,1,2,,1,1,,False
"""cannot provide a consistently reliable service""",1,2022-06-21,"The only thing consistent about Airnorth is their inconsistency! I live in a town where it’s our only choice of airline so we have to continually endure rescheduled flights (I’m not talking about minutes behind, I mean hours and hours) You are forever missing connecting flights, losing money on motel rooms, rentals etc. Their pricing is typical of an airline who has a monopoly on a service, and I can live with that, but it’s the simple fact that they cannot provide a consistently reliable service for the money they get that infuriates me. And only providing a tiny bottle of water and a packet of cheese and crackers as in flight catering is poor. If you have the choice, never fly with this airline of inutility.",True,Embraer 170,Solo Leisure,Economy Class,Gove to Darwin,June 2022,4,4,,4,1,,False
"""Had the worst experience with Air North""",1,2022-05-09,"Not Verified |  Had the worst experience with Air North whilst trying to get to Perth during the pandemic. Booked a flight with them from Darwin to Perth and never received any details of the flight confirmation in my inbox. Tried to call customer service and email several times and said the line had been disconnected. My card has been charged and I've now been trying to get the money back for this flight for about 3 months now. Still unresolved, still haven't managed to speak to a single person in customer service at Air North. Now being resolved with my bank.",False,,Solo Leisure,Economy Class,Darwin to Perth,March 2022,1,1,,1,1,,False
"""I am so impressed with Air North""",10,2021-08-15,"I am so impressed with Air North. The last time I flew with a different airline, I remember waiting ages for drink service that only came around once and paying something ridiculous for a small snack. But Air North blew that experience out of the water! Complimentary food and drinks are one thing, but this was only a 2.5 hour flight and they kept us busy the whole time serving drinks, a lovely sandwich, a cookie, and then more drinks. I was positively full at the end of the flight. And when I complimented the cookies (oatmeal chocolate chip served warm!) the very lovely stewardess, Keely, got me and my sister (my travelling companion) a few for the road!! She gave us good tips for visiting the Yukon, too. The airline was clean, flight was smooth and service was fantastic. I wish Air North flew everywhere - they would be my first choice every time.",True,,Solo Leisure,Economy Class,Vancouver to Whitehorse,August 2021,5,5,,5,5,,True
"""Disgusting service""",2,2020-09-18,"Flight changed twice from 5 and half hours to 8 hours and re routed from stop over in Townsville to Cairns with nearly three hour wait, then a trip into Gove before touching down in Darwin at 11.30 pm. I paid a descent fare to travel with a young child at reasonable time of day. This was a hell of a trip. Worst part is I couldn't ring to find out what was going on as no one would answer the phone. Disgusting service. I will no longer support the local airline once they have your money they don't give a toss.",True,,Family Leisure,Economy Class,Toowoomba to Darwin,September 2020,1,2,,2,1,,False
"""unreliable and unprofessional service""",2,2020-09-09,"Totally unreliable and unprofessional service from Airnorth. Initial booking was rescheduled three times. Meaning I had to change hire car booking and appointments twice, the third charge I had to cancel as there was no time to organise accommodation. Rescheduled flight for the 9th of September. Plane has been delayed with no expected eta, no updates to passengers. As to why this has occurred. For a return flight time of two hours it has cost $1200, for this price we should get a decent meal on the plane. But $1200 we will a small packet of chips and a bottle of water. If only we had competition in the Northern Territory.",True,,Business,Economy Class,Darwin to Groote Eylandt ,September 2020,3,2,,2,1,,False
"""Thank you for the great service""",10,2019-12-25,"Sydney to Kununurra . Thank you for the great service rendered by the flight crew for the flight that left Kununurra at 6pm to Darwin on the 23rd December,. All credit goes to them as it was the best smooth landing I have ever experienced.",True,,Solo Leisure,Economy Class,Sydney to Kununurra ,October 2019,5,5,,5,5,,True
"""surprised by the high quality""",9,2019-06-20,"Darwin to Dili. An excellent flight - really surprised by the high quality. Early morning departure from Darwin led to a pretty generous breakfast - frittata, yoghurt, coffee and juice. Pretty amazing for an hour-long flight (and significantly more generous than what we received on our flight up from Melbourne on a full priced carrier). Staff were friendly, energetic and professional. Love the crocodile skin belts. A nice touch of the Northern Territory. The return leg from Dili left half an hour early. Ran out of food options early, but on an hour-long flight, you can cope.",True,Embraer E170,Couple Leisure,Economy Class,Darwin to Dili,June 2019,4,5,,4,4,,True
"""excellent value for money""",9,2018-03-11,"Darwin to Dili. The Embraer 170 seats 76 passengers, all in economy. Airnorth (the Australian, not the Canadian company!) runs regional services across northern Australia, including one international flight to Dili, the capital of Timor Leste (East Timor). It is the shortest international route flown out of Australia at 1 hr 20 minutes! Apart from magazines there is no IFE, but refreshments are served. Outwards from Darwin to Dili in the late afternoon it was a chicken wrap and soft drink; coming back at 8 am it was a light breakfast with tea or coffee. Leg room is fine (I am 178 cm tall) and the seats are comfortable for a short flight. Ground crew in Darwin and the cabin crew were cheerful and efficient. The check-in counter staff in Dili were efficient but not particularly cheerful - a minor point. This flight was booked on a special sale fare and was excellent value for money - normally the flights are a bit expensive.",True,Embraer 170,Business,Economy Class,Darwin to Dili,March 2018,5,5,,5,5,,True
"""avoid when flying to and from Dili""",1,2016-08-17,"Dili to Darwin. Please avoid Airnorth if possible when flying to and from Dili, Timor Leste. You would be better served to fly via Nam Air or Citilink via Bali. AirNorth was 3 hrs late today resulting in my young children missing their connecting flight in Darwin to Brisbane costing me $700 to purchase alternate connecting flight to Brisbane via JetStar. I called AirNorth Customer Service to only be chastised by the most rude Customer Service Representative in the world. She essentially said it was my fault for not anticipating the fact that AirNorth has a historically poor ""on-time"" schedule and it was my problem if I missed a connecting flight even though I had 3 hrs between flights (AirNorth was 3 hrs late so I missed the once daily Virgin Australia Flight from Darwin to Brisbane).",False,,Family Leisure,Economy Class,DIL to DRW,August 2016,1,1,,1,1,,False
