header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend
"""staff were friendly and helpful""",8,2018-09-10,"Couple of short flights with HOP! An Embraer to Paris then a Bombadier down to Perpignan. Both aircraft cabins were nice, staff were friendly and helpful and the snacks/drinks on board were satisfying. Flights were on time. As a platinum cardholder my connection between CDG and ORY was without charge saving 23 Euro which is a really practical and helpful perk of Flying Blue membership, thanks Air France for that. I fly a lot with HOP! and they always do a good job, well done again!",True,,Solo Leisure,Economy Class,Newcastle to Perpignan via Paris,September 2018,4,5,,5,5,,True
"""still no response from them""",1,2018-05-17,"Paris to Nantes. Strikes on April 23 did not allow me to take this flight. Since April 21st I try to contact hop, by phone no one answers, no one also responds to emails or through the contact page of their website, or by twitter. I lost 200 euros, I could not change this flight and had to buy another ticket. Today May 16, still no response from them.",True,,Solo Leisure,Economy Class,Paris to Nantes,April 2018,,,,1,1,,False
"""Good service in flight""",7,2017-11-02,"✅ Verified Review |  Toulon to Paris Orly. Aircraft on time and clean. Good service in flight, pleasant staff on departure, inflight and on arrival. We had to leave bags at plane entry gate and we fetched them at plane exit gate in Paris. The aircraft is useful for small flights but is a little small for passengers. Flight entertainment would have been appreciated (domestic flights in another countries have in flight entertainment, even for 1hr flights).",False,CRJ 1000,Business,Economy Class,Toulon to Paris Orly,October 2017,4,5,,4,3,,True
"""hard pressed to use HOP""",3,2017-08-03,"✅ Verified Review |  Paris to Aberdeen. HOP did us a favour during our outbound journey by taking strike action and cancelling our flight less than 48 hours prior to our departure. KLM/Air France organised a replacement itinerary with British airways which was very nice. The fun really started during our return journey from Paris to Aberdeen when we were shuttled by bus from the terminal to the aircraft. We were then left standing in the busses unable to board the aircraft for almost an hour as no purser was available to complete the embarkation. Thankfully a purser from another, recently landed, flight agreed to take our flight and worked very quickly and diligently to board the aircraft as soon as she arrived. Once underway my partner had to eat her meal from her lap since the tray table was missing from the arm of the seat. Neither of us would normally care about such things but we had treated ourselves to business class seats since it has been a few years since we had a decent holiday. I will be very hard pressed to use HOP in the future if I can avoid it!",False,,Business,Business Class,Paris to Aberdeen,July 2017,1,5,,2,2,,False
"""they fail to see the problem""",1,2017-03-01,"✅ Verified Review |  Brussels to Pau via Lyon. Upon arriving at my layover I was immediately notified that I was rebooked on another flight taking me to Toulouse and a driver there would meet me and drive me to Pau that evening. There was bad weather in Pau and the flights were cancelled. I was a bit hesitant but I was assured that ""getting me to Pau that night was their top priority"" (possibly because of my status with Delta and sky team). So I flew to Toulouse and had to wait a few minutes for most of the people to get off the plane before I could retrieve my baggage which was all the way in the back. I walked downstairs and didn't see anyone. I walked out to the taxi area to see if someone was holding a sign, and there was nobody. I walked back inside to see if I missed somebody but I didn't even see the other 6 people that also were placed on this flight and driven to Pau. I was stranded, approaching 11pm on a Sunday with no means of any customer support what so ever. After doing a quick internet search I also realized HOP! purposely does not even have a customer service number to call. All they have is a poor form to fill out and you get a response over a week later or in my case I am on my 4th correspondence with these people and they still fail to see the problem. I missed my 8am appointment the following morning and had to eat the additional hotel bill for the night in Toulouse and in Tarbes (because notifying them at midnight that I was not going to be there was not good enough). I contacted Air France but after 45 minutes on the phone even they were unable to access any information within HOPs system.",False,,Business,Economy Class,Brussels to Pau via Lyon,February 2017,1,4,,1,1,,False
"""friendly crew-members""",8,2017-01-04,"✅ Verified Review |  Our flight from Dusseldorf to Paris came in late. Boarding went fast and according to our onward tickets, in Premium Economy, we had SkyPriority status. Airport-staff in Düsseldorf was great, professional and well informed about the connecting time in CDG. The flight was without any specials. Friendly crew-members and a nice plane. I haven’t expected a snack on this short flight but Coffee/Tea and a Croissant served right after take off. Seats on this plane offering enough leg-space. A good flight with HOP!",False,E190,Couple Leisure,Economy Class,DUS to CDG,December 2016,5,4,,5,5,,True
"""outstanding service""",10,2016-10-14,"✅ Verified Review |  Dusseldorf to Paris CDG return on Embraer E190 jets. The plane was very clean, 2x2 configuration as standard with extremely wide seats. I am 6'3"" / 188cm on 180 pounds and the seats were wide and long enough for my legs. There was enough leg space including space for luggage below the seat. Some people had trouble finding space for their luggage overhead, but that is a problem on regional jets. Shortly after takeoff the first round of drinks was served, water and coffee,  without charge. On the next run through, about 15 minutes later, we got pretzels and salted peanuts. Overall, I am impressed by HOP! and would recommend it. Great staff, outstanding service and a very pleasurable seating experience make it the perfect option for short trips.",False,E190,Solo Leisure,Economy Class,CDG to DUS,September 2016,5,5,,3,5,,True
"""ground and cabin staff very pleasant""",8,2016-09-04,"Brive to Paris-Orly with HOP! Seamless reservations through Air France. Brive is a tiny airport and very easy to manage. On time departure for Paris. Both ground and cabin staff very pleasant. Aircraft was aging but clean and seemed well maintained. Inflight service was beverage and snack, fine for a 1 hour flight. Only drawback is the limited schedule between Orly and Brive, which means I usually have to fly via Bordeaux. Fares occasionally high but generally very reasonable. Will certainly fly them again.",False,ATR-72,Couple Leisure,Economy Class,BVE to ORY,July 2016,3,3,,4,4,,True
"""good service and comfort levels""",7,2016-08-22,"✅ Verified Review |  Flew Amsterdam Schiphol to Marseille via Strasbourg. Hop! has good service and comfort levels for a regional airliner. Their in-flight announcements in English need some work though. On my flights I was on an Embrear 145, which has an odd seating arrangement of 1-2. The seats were comfortable, and not cramped. The flights were staffed by a single cabin manager, but they handled the job of getting everyone onboard, and serving a complementary drink with a snack on each leg well. Their in-flight announcements in English were completely incomprehensible however, as were the recorded announcements in English as well. Since I don't speak French, I just hope they weren't telling me anything important. On one leg of my flight there was a brief delay, but this was communicated in a timely manner.",False,ERJ-145,Solo Leisure,Economy Class,AMS to MRS via SXB,July 2016,4,4,,2,3,,True
"""wouldn't recommend because of price""",7,2016-08-20,"✅ Verified Review |  Strasbourg to Amsterdam. Ridiculous price (550 euro) for a one-way flight so a purchased a much cheaper return and canceled the return flight. This is supposed to be a lowcost airline! Inflight service consisted of snack and drink. Stewardess even returned for me since I was asleep, which I appreciated. I like the E145 aircraft since it has solo seats. Wouldn't recommend because of the price only, but it's your only option on this route.",False,E145,Solo Leisure,Economy Class,SXB to AMS,July 2016,4,5,,2,1,,False
