header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,wifi_and_connectivity,recommend
"""I’m definitely disappointed""",1,2022-11-19,"As a platinum member, loyal customer of KLM, I’m definitely disappointed. My seat was discussing dirty, not cleaned at all from previous passenger. Entertainment system not working. The cabin crew was extremely arrogant, unfriendly, unprofessional and actually I’ve got a feeling that they hate their job. When I’ve mentioned all this the purser was trying to convince me that this might be my impression only. He even didn’t apologise for their behaviour. Will never fly with this airline.",True,,Business,Business Class,Amsterdam to Bogota,November 2022,1,1,"<span class=""star fill"">1</span>",2,1,,1,False
"""crew are extremely friendly""",10,2022-11-13,"The departure from Brussels was on time and this short flight is interesting to me, because we fly a little along the sea and the view when landing in Amsterdam is wonderful. The next flight to Belgrade was a little late, but I didn't bother. The flight itself was very peaceful and since it was an evening flight, it was quite quiet in the cabin. Shortly before landing, the captain informed us that we would have a short landing. And indeed when we landed, we stopped pretty quickly. The crew are extremely friendly.",True,Embraer,Solo Leisure,Economy Class,Brussels to Belgrade via Amsterdam,October 2022,5,5,,4,5,,,True
"""KLM refuses to compensate me""",1,2022-11-10,"Worst airline experience ever. I was on a business trip in Spain. On Jun 28, 2022, I was scheduled to fly KL2648 from Malaga to Amsterdam, and then to LA, with a couple of hours layover. 4 days prior to my flight, I received an email from KLM saying my flight was canceled. They then scheduled me to a different flight a day early (and at a different time).  I couldn’t leave a day early, due to my business obligations, so I spent hours each day trying to reach the airline. However, KLM's customer service was not reachable and the website wasn't functioning. On the top of all of that, I kept receiving confusing emails from KLM saying my original flight was still on time, while, at the same time that flight had changed. So I had to go to the airport one day prior to my original flight to find out if my trip actually changed or not. Upon arriving at the airport, I was told by a rude KLM employee that I must fly now or I will lose my ticket. I was also promised that I will be taken care of by a KLM employees in Amsterdam. I arrived at the Amsterdam airport after 1am, and there were no KLM employees there at all. I then had to spend a frustrating night looking for a place to stay because all the hotels were fully booked. KLM does not care about their passengers, and they don't take any responsibility when there’s a problem for which they are responsible. It's been 5 months now that I have been trying to get a refund for my reasonable expenses (as they promise to pay), but KLM refuses to compensate me, even though I have proof for every transaction. Do yourself a favor, save yourself money, time and emotional stress, and DO NOT fly KLM. Almost any other airline will respect you better!",True,,Business,Economy Class,Malaga to Los Angeles via Amsterdam,June 2022,2,1,"<span class=""star fill"">1</span>",1,1,,,False
"""Will choose a different airline next time""",2,2022-11-07,"Not Verified |  Cramped seats even in Economy Comfort for 100€ more is a joke! Plane in bad condition. Electricity at seat not working, WiFi not working, Map air show not working. Will choose a different airline next time.",False,Boeing 787,Couple Leisure,Premium Economy,Amsterdam to Bogota,November 2022,1,2,"<span class=""star fill"">1</span>",3,2,,1,False
"""I like the airline and the crew are great""",6,2022-11-06,"Used KLM between Heathrow & Amsterdam and return, check in for both outbound and return was pretty simple as I only had hand baggage. Although at 7.00am terminal 3 was very busy. The flight departed from gate 3A a long queue so ended with the flight being delayed a little, once onboard seat 6A was fine for this short 50 min flight. Departed a little late but landed just 10 min late, service and crew were really very nice be boarded quickly, in to a packed out Schiphol. Returning the following day security and passport control took around 1 hour which is okay, arrived at the gate D12 where boarding started 20 min before departure, a full flight once again 6A and again crew and service just great. Arrived on time at LHR to a remote stand and bussed to the terminal. Nice trip although I'm still not sure if I would use KLM Economy for long haul flights, might try business if the cost is right! I like the airline and the crew are great.",True,Boeing 737-800,Solo Leisure,Economy Class,London Heathrow to Amsterdam,October 2022,3,5,,2,4,,,True
"""Business class long haul with KLM is a treat""",10,2022-11-03,"Business class long haul with KLM is a treat. Great chef food served by wonderful and attentive staff. Perhaps some background to some of the bad reviews is in order. Many of these bad reviews are about KLM customer care and Schiphol airport handling. During the pandemic, Schiphol in its infinite wisdom thought it wise to lay off much of the security personnel even when the Dutch government provided for subsidies for companies not to fire employees. Equally with the baggage handling companies, whose personnel is not well paid unfortunately anyway. Now with air traffic resuming to pre-pandemic levels, that same personnel is impossible to come by. Of course they have found more reliable employers as there is a general labour shortage anyway. As a result and to be fair, KLM is caught in the middle. KLM has had to drastically cut back on flights and occupancy, in a time where it was hoping to make up lost revenue during the pandemic. Customer service is therefore swamped in claims, while staff there too is undoubtedly in short supply. This is sad to see because the on board service is excellent and the seats in business class are good and can recline fully.",True,Boeing 787,Business,Business Class,Amsterdam to San Francisco,September 2022,5,5,"<span class=""star fill"">5</span>",4,4,,4,True
"""did not communicate this change to me""",1,2022-11-02,"KLM cancelled my original flight. They rebooked me on an earlier flight. They did not communicate this change to me. As a result, I had to be rebooked arriving a day and a half later. UK law obligates them to a partial refund, but they are denying the request saying I was a no show, not acknowledging that the flight was missed du to their itinerary change and lack of communication. I've never missed a flight in my entire life for reasons I could control, and fly at least an average of once a month, with yearly international travel. This is disappointing, frustrating, and poor business practice combined with worse customer service.",True,,Business,Economy Class,Cardiff to Vienna via Amsterdam,August 2022,1,1,,1,1,,,False
"""Worst flight ever""",1,2022-10-29,"Not Verified |  Worst flight ever. We have a 1 year baby with us and they took his pram, and promised us giving it back in Amsterdam. It did not happen and they did not care about us at all. After now contacting customer service, they told us they can not do anything because we «already took the flight».",False,,Family Leisure,Economy Class,Oslo to Washington via Amsterdam,October 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""definite decline in the service""",4,2022-10-26,"Not Verified |  
Coming back from Europe on KLM was not pleasant, after a lovely holiday. I've happily flown KLM Economy many times in the past, but there is a definite decline in the service offered now! The one thing I will say is that there was good leg room and I am 5'7"" tall, so that was a positive. they do not carry any pillows now for Economy passengers. You do get the see through blanket and a bottle of water. Meals: first meal of dinner was fairly tasty, a chicken curry. However, they offered bread rolls, and when I told the cabin crew that I had no butter on my tray, she said that they found out about a month before that butter had been deleted from meal trays .. they only knew because so many passengers were asking for it! Dessert was handed out later, a tasteless yellow cake in a plastic wrap. The cutlery is now made of flat balsa-like wood, stamped into shapes of knife, fork and spoon. Like eating with hospital tongue depressors. The second meal was unidentifiable .. a boiling hot piece of a pizza like sandwich with no discernable filling, and a sloppy salad, beige and liquid with nothing really to tell what it was. The staff were delightful, but these little ""economies"" by KLM have put me off flying with them ever again. Sorry, KLM...you're off my list.",False,,Solo Leisure,Economy Class,Amsterdam to Vancouver,October 2022,3,5,"<span class=""star fill"">5</span>",5,1,,,False
"""do not feel that they value their customers""",1,2022-10-24,"Booked these flights months in advance. From Edmonton to Athens with a layover in Amsterdam in order to catch our flight to Egypt to meet our tour group. KLM changed our flight times without even notifying us (this is not acceptable), we happened to look ourselves and realized that 3 weeks prior to our departure date we would not be able to make any of our connections (panic!) My travel partner spent hours on the phone with KLM sine I was working - she would be put on hold 15 minutes at a time by the agent who was nothing but rude and unhelpful and she was told vague different reasons for the flight changes from different employees. It seemed like they were trying to get rid of us or it was a hassle to assist us. KLM offered to place us on new flights that were not reasonable and eventually after hours agreed there were no reasonable flights and would refund us our tickets. We then had to rebook our flights which cost more as we were now only 3 weeks away from leaving and took us on a completely different flight path. This caused us to have to cancel hotels and re-book others. On top of this we were informed our refund of about $1400 would take 3-5 MONTHS! I understand these things happen, but I believe we should have had better communication and assistance. They also changed our flights coming home as well and I had to take another day off work, but I'm not even focusing on that. Based on what I have read in the air passenger protection regulations I do not think they abided by code. I have lost all confidence in this airline and do not feel that they value their customers.",True,,Solo Leisure,Economy Class,Edmonton to Athens via Amsterdam,October 2022,1,1,,1,1,,,False
