header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend
"""never look forward to using this service""",4,2022-11-10,"Over an hour delayed. This is consistent with every time I have used this airline. Very frustrating considering their cost. Staff at airport didn't seem to care. One tried to prevent a customer from using the toilet which was located out with the gate we were sat waiting (no facilities provided - yes this is Bristol airport's problem, yet she should have been more considerate). When I went to advance check in online I was told it would be a £6 charge to select a seat otherwise I would be randomly allocated one, even though I was travelling with my partner who was scared of flying. Overall never look forward to using this service.",True,,Couple Leisure,Economy Class,Bristol to Aberdeen,November 2022,3,4,"<span class=""star fill"">1</span>",1,2,,False
"""avoid Loganair like the plague""",2,2022-09-10,Not Verified |  A word of warning - avoid Loganair like the plague. More of a joke than an airline really. I lost a day of my trip when my outbound flight was cancelled. My inbound flight was delayed by 2.5 hours so I missed my onward flight last night. Next flight to Norwich is on Sunday so they wanted to put me in a hotel for two days. When I booked a flight for the next day on another airline and asked them to cancel my flight they then washed their hands of me and I had to sort my own hotel last night. This morning I arrived at the airport at 5.30am. Loganair have 5 flights on the departure board - 3 of those are already delayed by an hour or more. Their staff don’t seem to give a stuff - I guess they deal with so many inconvenienced people that they are over it as well.,False,Saab 340,Solo Leisure,Economy Class,Kirkwall to Aberdeen,September 2022,3,4,,1,2,,False
"""unbelievable customer service""",1,2022-08-25,"Avoid this airline when possible. The Birmingham to Isle of Man check in desk open 40 minutes late, the plane as then delayed on 3 occasions and then cancelled without an announcement just a text message sent when sitting at departure gate. No one from Loganair to explain cancellation or how to retrieve luggage or go back through security. Over 2.5 hours to get out of airport and entire plane full of passengers only helped by a member of airport cleaning staff for the first hour. Appalling and unbelievable customer service by this airline.",True,,Couple Leisure,Economy Class,Birmingham to Isle of man,August 2022,,,,1,1,,False
"""We will never book with Loganair again""",1,2022-04-15,"Not Verified |  If I could wind the clock back I definitely would not book with Loganair. Firstly after booking and having chosen our flights we got an email saying both flights were to be moved to early morning which would mean the added expense of an overnight stay at an airport hotel for us. Then when we needed to cancel because our son had to attend GCSE revision sessions, we discovered there was no way of cancelling. The only option was to change flights which we did not want to do and even this would incur a charge that was nearly as much as the flights in the first place. We will never book with Loganair again and would recommend that anybody considering it looks elsewhere if at all possible",False,,Family Leisure,Economy Class,Birmingham to Isle of Man,April 2022,,,,,1,,False
"""like to express huge gratitude""",10,2021-12-29,"I am writing a separate review for this return trip, because I would like to express huge gratitude to the Loganair ground staff at Kirkwall. Never felt so silly in my flying ‘career’, but I managed to book a return flight for a wrong date, and found this out only at the check-in counter. What I would like to outline is not the fact that I was eventually rebooked on an earlier flight (had a FlexPlus fare so it was assumed), but how the staff cared. The initial morning flight had to be delayed and aircraft promptly replaced for a smaller one due to crew sickness: the ground staff had to manage 80+ passengers, most of whom went on vacation with families and were missing their flight connections: they resolved the situation very efficiently (I assume it is not easy to find alternative flights when flying out from a small island in the middle of nowhere known for an awful weather) and remained kind during the process. And in the middle of this all, the check-in manager found me out from the crowd in the departure hall and personally presented me with a new boarding pass, thus, solving my own mess in addition to the problems they had on the plate. Amazing job and great example for many regional operations! Cherry on top, the flight great as well, with a very lovely crew.",True,ATR-42,Solo Leisure,Economy Class,Kirkwall to EDI,December 2021,4,5,,5,4,,True
"""gave a fantastic impression on me""",8,2021-12-28,"For a regional airline, Loganair gave a fantastic impression on me. It was expensive (£200 one way), however, I booked at the very last minute at the FlexPlus fare. Lovely ground experience (my bag was too big to be brought inside the cabin and the manager just kindly offered to place it in the cargo hold), excellent flight crew and lovely service (delicious cookies, cold and hot beverages). Seats were comfortable for a turbo-prop and what I also liked very much was that the ATR-72 was not as noisy as, say, Dash-8. One thing I would suggest is that they introduce a fully refundable fare instead of just allowing to change flights with no charge.",True,ATR-72,Solo Leisure,Economy Class,Edinburgh to Kirkwall,December 2021,5,5,,4,3,,True
"""Customer service extremely slow to respond""",1,2021-09-14,"Return flight but outbound was cancelled at extremely short notice. Was on way to Heathrow on tube when flight was cancelled. Had to find a way to travel 200 plus miles that evening at short notice. Not covid related, and claimed compensation immediately. Two months later no sign of my fare or compensation. I made the return journey successfully a few days later but irritating to have to chase my money for their breach of contract when the law is clear. Customer service extremely slow to respond.",True,,Business,Economy Class,Heathrow to Teesside,July 2021,1,1,,1,1,,False
"""possibly the best ever""",8,2021-07-08,"Flew Edinburgh to Stornaway on Fri 25th June. Flight no LM0343 at 12:10 hrs. The cabin stewardess (possibly called Jenna) was possibly the best ever. Her attention to the passengers and general persona was fantastic. Whatever Loganair are paying her, its not enough!",True,,Couple Leisure,Premium Economy,Edinburgh to Stornaway,June 2021,4,5,,4,4,,True
"""definitely be flying again with you""",10,2021-07-06,"I recently used Loganair and had the best experience flying with my daughter for her first time. The staff were very friendly and Matthew on board was amazing to me and my daughter, very friendly, he was a big part in my experience made it so easy for us and was so good with my daughter making her smile and laugh I couldn’t thank him enough! We also met the pilots who were very friendly and made us laugh and at ease with us both. Just want to say once again a massive thank you to everyone at Loganair, will definitely be flying again with you!",True,,Family Leisure,Economy Class,Newquay to Manchester,July 2021,5,5,,5,5,,True
"""moved our flight to the following day""",1,2021-06-11,"Not Verified |  Has this airline ever ran a flight at the date/time that it is supposed to? Me and a my partner had a flight booked to Exeter and my girlfriend also had a flight book for a return 2 days later. A few weeks later, Loganair called and informed her that the return flight had been cancelled, so she had to rebook with another company. On the date of me writing this review, the flight is supposed to be leaving but upon checking the flight status I have found out that they moved our flight to the following day without informing us. Turns out because someone had phoned my partner to confirm the return cancellation, they left a note on the system saying that they had already contacted us so they never informed us of the change in date for the flight there. To sum up, we have had two flights booked with this company, one cancelled, one moved date. That cannot be just bad luck. We will be asking for a refund, as well as compensation for the flight booked that we no longer require due to their incompetence.",False,,Couple Leisure,Economy Class,Manchester to Exeter,June 2021,3,3,,3,1,,False
