header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,recommend
"""fantastic little airline""",9,2018-09-24,"We recently flew business class New Delhi to Paro and Paro to Bangkok with Druk Air. They are a fantastic little airline being only one of two airlines serving Bhutan. We were on a trip via Delhi to Paro for 4 nights and then onto Bangkok. Both flights on time, lounges were shared and and of a good standard. Both flights considering Paro being one of the worlds most difficult airports to land in were flawless by the flight deck.. some amazing views en route and pointed out by the crew. Food and beverage were of a high standard and plentiful for 2 hour flights combined with excellent service from very professional and and delightful Bhutanese crew. Would certainly use again. Only point out being there is no Entertainment or wifi but the views en route you dont need it !",True,A319,Couple Leisure,Business Class,New Delhi to Bangkok via Paro,September 2018,5,5,,5,4,,True
"""very happy to fly Druk Air again""",8,2016-06-02,"My wife and I flew return trips on Druk Air from Kathmandu to Thimpu for a section of our honeymoon. There are very limited options to get in and out of Bhutan, so I was a bit concerned about the ability to choose exactly what airline and flights we were going to take. However, it all went really smoothly. We were warned beforehand that the flights are often several hours late, ours was close to on time. We were told that we'd see the Himalayas as we flew past, including Mt Everest, which we did. The crew were courteous and helpful, and the food surprisingly good for such a small airline. The plane was old, but appeared to be well looked after. There is no in-flight entertainment system, so bring a book/tablet to keep yourself entertained, or read the airline magazine, which will mainly feature articles about how much the Bhutanese love their King (they are crazy over their monarchy). If we are ever lucky enough to go back to Bhutan, I'd be very happy to fly Druk Air again.",False,,Couple Leisure,Economy Class,KTM to QJC,December 2015,4,5,"<span class=""star fill"">1</span>",5,4,,True
"""staff were lovely on board""",6,2016-02-10,Flew Delhi to Paro via Kathmandu return. Check in at Druk Air in Delhi was fine. We got the seats we wanted. Flight was to depart at 6.30 but we got delayed due to fog in Kathmandu. Eventually left 4 hours later 10.30. We were kept informed but the manager in charge at Delhi was a very rude lady who kept saying that its not their fault and the delay was due to fog - not that any passenger said anything. She was so aggressive about the whole thing that it made you dislike the airline even before we took off. Most passengers were appalled by her way of speaking. The rest of the flight was good. The staff were lovely on board and very apologetic. Food was very average. Return flight once again delayed due to fog in KTM. Apparently it happens every day. Again flight back was fine. Food pretty average. Landed late in Delhi. All in all an okay experience that would have been much better without that lady shouting at us in Delhi.,False,A319,Couple Leisure,Economy Class,DEL to PBH via KTM,February 2016,4,4,,1,3,,True
"""Friendly and efficient cabin crew""",10,2015-09-13,"Very pleasant flight from Kolkata to Paro with Druk Air. Friendly and efficient cabin crew. Nice snack and drinks. Even got boiled sweet for landing. Superb scenery en route, especially as we approached Paro of course. Have no idea of cost as was booked as part of package but overall excellent.",False,,Couple Leisure,Economy Class,Kolkata to Paro,September 2015,5,5,,5,3,,True
Druk Air customer review,7,2014-06-13,Kathmandu-Thimpu May 15. Thimpu-Bangkok May 20 both 2014. Got to see Mount Everest on first flight in a smallish jet-prop plane. On second flight I found the meal to be indigestible.,False,,,Economy Class,,,3,3,"<span class=""star fill"">2</span>",,3,,True
Druk Air customer review,9,2014-01-16,Delhi-Paro-Delhi Oct 7th and Oct 17th. Excellent flight in business class. Fast check in baggage arrived promptly at both airports. Very good meals 3 choices. Service a bit rushed coffee being served when still eating. A nice touch: being allowed in the cockpit when overflying Nepal beautiful view of Himalaya range. Price a bit expensive but Druk Air has a monopoly on all flights to Bhutan.,False,,,Business Class,,,4,4,,,4,,True
Druk Air customer review,9,2012-12-28,BKK-PBH J class. Check in smooth. Departure slightly late due to late arrival night before and need to adhere to minimum rest times for the crew. On board service was excellent with a seasoned cabin crew. Breakfast was hot and tasty. Lots of updates from the flight deck. A good flight overall.,False,,,Business Class,,,3,5,,,3,,True
Druk Air customer review,10,2012-11-07,Flew Delhi - Paro return with outbound travel 27 Oct return 3 Nov. J class both ways. What a wonderful airline! Hot towels before takeoff. Excellent meal en-route with a choice of 3 hot entrees. Bar service. Hot towels again before landing. Seats were standard F class. No entertainment. Flight attendants were friendly and accommodating. Flew right by Mt. Everest both directions which the captain pointed out. Landing in Paro quite interesting as was takeoff.,False,,,Business Class,,,4,5,,,4,,True
Druk Air customer review,8,2012-02-20,Quite a nice experience. Once onboard the service is very good and the food and drinks of international standard. Landing and takeoff in Paro is a bit of a rush. Though they are the only carrier to Bhutan they do a good job and provide a good quality product. Tickets are expensive but that is due to high costs of operation.,False,,,Economy Class,,,,,,,4,,True
Druk Air customer review,7,2011-11-23,"KTM-Paro return. Single class on a turbo prop plane. Very bumpy ride into Paro through the valleys but no problems on the return. Snack served both ways. Seating rather cramped. Good views on both legs. Seats on ""best"" sides seemingly booked well in advance by travel agencies.",False,,,Economy Class,,,,,,,2,,True
