header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,wifi_and_connectivity,recommend
"""price of the ticket is very cheap""",7,2021-02-01,"Beijing to Shanghai in October 2020. When getting on the plane, the steward is efficient and fast in guiding passengers. After closing the cabin door, through a very short taxi into the runway ready to take off, without any delay, even in the National Day holiday. But the food is really average, economy class only porridge and pickles, and can't choose anymore. It provides free WiFi, but it can only watch some documentaries and movies, and can't contact the ground. Although the seats of Air China 77W are not very comfortable, the space between the seats is very large and comfortable. PTV is slow to respond, but it contains a lot of films. The landing was very smooth. When we got off the plane, every steward warmly expressed thanks and said goodbye. The price of the ticket is very cheap, only 500 yuan.",True,Boeing 777-300ER,Family Leisure,Economy Class,Shanghai to Beijing,October 2020,2,4,"<span class=""star fill"">5</span>",3,5,,2,False
"""still have not received my refund""",1,2020-10-06,"Not Verified |  Worst airline and horrible refund policy. I was to fly from Beijing Capital to Dubai, but they cancelled the flight. I applied for a refund and it’s been 4 months and I still have not received my refund.",False,,Solo Leisure,Economy Class,Beijing to Dubai,July 2020,,,,,1,,,False
"""loop hole to screw me over""",2,2020-06-22,"I requested a refund to my flight because of COVID-19 which was supposed to be a full refund. However what I learned after calling is in order to get refunded for the flight I can not file for a refund online, it had to be a phone call in order to get a refund. Is this confusing? That's because it is, I did an online 'request to refund' and received no refund. So Air China canceled my flight and took my money! How does that make sense at all? I tried calling them several times and their answer was always different, they canceled the flight and I am out of my money for a flight they never flew all because some side loop hole to screw me over. Seems this is common place for this company and I am personally avoid them for all my future flights, while they are cheap you get what you pay for obviously and the last thing I need when I am trying to take a vacation is dealing with this nightmare of a company.",True,,Couple Leisure,Economy Class,New York JFK to Beijing,April 2020,,,,,1,,,False
"""the worst unhelpful airline""",3,2020-05-16,I flew to Thailand but with the Corona virus they cancelled the flight from Bangkok to London and wouldn't help to bring people back or give a refund so that we can take alternative flights. They were the worst unhelpful airline. Once they get your money they don't care about the customers.,True,,Solo Leisure,Economy Class,London to Bangkok via Beijing,February 2020,3,1,"<span class=""star fill"">2</span>",2,2,,2,False
"""plane brought back memories""",6,2020-04-05,"Vancouver to Guangzhou via Beijing. On my Boeing 744 trip, the plane brought back memories. Normally, I like a updated and brightly lit cabin, but the Boeing 744 really brought something special. Their food is questionable and their inflight was entertainment system can have more selections. They also have good value of money as my round trip costed just over $500CAD. Overall, they have great crew and value but can improve on the food and IFE.",True,B777-300ER/747-400/787-9/A330-300,Family Leisure,Economy Class,Vancouver to Guangzhou via Beijing,May 2019,3,5,"<span class=""star fill"">2</span>",4,3,,1,True
"""Refund policy is ridiculous""",1,2020-04-04,"Guangzhou to Vancouver via Beijing booked for mid-April. The worst airline I have ever seen. Air China doesnt care their customers and just want to get money from their customers. Refund policy is ridiculous and try to cheat customers. When you call customer service, the only thing they said is there is nothing I can do. Will 100% not to choose this airline ever again",True,,Solo Leisure,Economy Class,Guangzhou to Vancouver via Beijing,April 2020,1,,,,1,,,False
"""an unpleasant experience""",3,2020-03-15,"Tianjin to Johannesburg via Shenzhen. Had an unpleasant experience flying with Air China. No service to speak of, the ground staff are content just speaking at you and not listening to what you have to say or are asking. I had to wait for a long time to check in, because my bag was overweight even though I said immediately that I would pay the fee. I ordered the vegan option: I was given a bun smothered in mayonnaise three cucumber slices, some lettuce and an orange wedge. This I did not eat of course. I informed the cabin crew who were polite but unfortunately were unable to help. Could you please enlist the services of a nutritionist and have them review and train your food and beverage department on what constitutes a complete and healthful vegan meal. Do not mislead customers by saying you cater to all dietary requirements when you do not.",True,,Solo Leisure,Economy Class,Tianjin to Johannesburg via Shenzhen,February 2020,3,3,"<span class=""star fill"">1</span>",1,3,,,False
"""Utterly shocking service""",6,2020-03-15,"Not Verified |  My infant daughter and I flew from Cape Town to Xi'an via Johannesburg and Shenzhen. Firstly I was told our baggage would go all the way to Xi'an (which it did not), but that is the fault of the rude check-in counter rep in Cape Town. My daughter and I arrived in Johannesburg and had to check in our luggage onto our connecting Air China flight to Shenzhen. In Shenzhen I was told to check my luggage in again for the last leg of our journey to Xi'an. However my one suit case and my daughters stroller never arrived, and I later learned that it never left Johannesburg airport. I arrived home having none of my daughters clothes, all her clothes at home were too small for her and to add insult to injury we are now in a 14 day quarantine. We arrived on Tuesday afternoon and were told that on Saturday it would arrive. It is now Saturday evening and still no word on its expected arrival. Utterly shocking service. On a more positive note, cabin crew were friendly and helpful.",False,,Family Leisure,Economy Class,Johannesburgh to Shenzhen,March 2020,3,5,"<span class=""star fill"">3</span>",3,3,,,True
"""response to COVID-19 is criminal""",2,2020-03-12,Los Angeles to Kansa via Beijing booked for March 2020. I've had great experiences flying Air China. Attendants are friendly and  food is decent. However their response to the COVID-19 outbreak is criminal. They lied repeatedly about issuing a refund. I had to file a credit card dispute to get my money back.,True,,Couple Leisure,Economy Class,Los Angeles to Kansa via Beijing,March 2020,,,,,1,,,False
"""planes are quite old and dirty""",6,2020-03-08,Sydney to Stockholm via Beijing. Really old and rugged airplanes and very little leg room. But the worst part is that the cabin crew makes constant  in-flight announcement. Each time there is a little bump of turbulence there is an announcement in Chinese and English.  It is impossible to make use of IFE system and I recommend a good pair of noise cancelling headphones. Cabin crew speaks poor English but are nice and let me change seats to the emergency seats without having to pay extra. (I am 192 cm tall so very worth while.) Lounge staff in Beijing were OK but one woman went out of her way to change our seats in the lounge making sure that we got better seats and even bumped us up to emergency row also on the second leg of our trip. Very appreciated. I have never had any issues flying with Air China but I know that Chinese ground services customer service can be very inadequate and unhelpful so happy I have not had to deal with that. Overall planes are quite old and dirty and food is poor but value for money is great and it got us to our destination back and forth without any mishaps.,True,Boeing 777 / A330,Couple Leisure,Economy Class,Sydney to Stockholm via Beijing,January 2020,1,3,"<span class=""star fill"">1</span>",5,5,,1,True
