header,rating,review_date,comment,trip_verified,aircraft,type_of_traveller,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_and_beverages,ground_service,value_for_money,wifi_and_connecticity,wifi_and_connectivity,recommend
"""people could not do their jobs""",1,2022-11-20,"Not Verified | American Airlines is the absolute worst! In the last three trips I've taken, twice I was unable to get a wheelchair and had to walk, and put myself out horribly, in order to get to my gate, and now I'm sitting waiting for a flight with two other people I was supposed to be traveling with, and after spending over an hour on the phone 2 weeks ago, I found out our seats were never properly assigned and nothing that was requested was ever done. They have the absolute most horrible customer service of any airline I have had to deal with. Then, they tell me it's my fault because I didn't double check to make sure I had seats even though I was told that I did. They can't even be nice about it. Amazing how people could not do their jobs, be rude to people, and do everything wrong, and there is absolutely nothing that can be done about it. They don't have a problem, they don't lose their jobs, they're not uncomfortable, they're not the ones that can't walk for 2 days after traveling, they couldn't care less. Save yourself! Do not use this airline",False,,Business,Economy Class,Orlando to Phoenix,November 2022,1,1,"<span class=""star fill"">1</span>",1,1,,2,False
"""Rude, careless, staff""",1,2022-11-20,"Never again. Every flight was delayed due to them not being able to board on time or workers being late. I was supposed to get home at 11.30am, had to rebook twice, hoping to be home by midnight now. Rude, careless, staff. Fly Delta.",True,,Solo Leisure,Economy Class,Detroit to Fort Myers,November 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""we don't care attitude""",1,2022-11-20,"Not Verified |  So first the flight gets changed from a 2:30pm arrival to now 10:45 pm if lucky. Now pushing a 3 hr layover in DFW instead of 1 hr. The plane was at the gate and not boarding because get this ""They can't find the mechanic that boarded the plane"". Awesome customer service BTW. If you love being treated with the ""we don't care attitude"", then by all means buy an overpriced ticket from these chumps and enjoy your dreaded trip.",False,,Solo Leisure,Economy Class,Burbank to Austin,November 2022,2,1,"<span class=""star fill"">2</span>",1,1,,3,False
"""Avoid this airline at all cost""",1,2022-11-18,"Not Verified |  Avoid this airline at all costs!! Their customer service is terrible down the line, and their policies on their refunds are atrocious. My fiancé and I were forced to pay for a hotel room in Dallas after issues with two separate flights. Typically, American Airlines would provide vouchers; however, we were told they ran out of hotel vouchers prior to us being able to receive a room. We were then forced to pay out of pocket, and are now fighting to get our money back that we had to pay for this hotel. not only did we had to pay for the hotel, but there was a hidden fee of $170 added to my account for some hotel booking service that I was unaware of. American Airlines states they will pay for a reasonably priced hotel, but do not state anywhere online what a reasonable price is for them. American Airlines is attempting to pay us just $100, with some additional trip credits added in. I failed to see how trip credits are a viable source of a refund here, as I never want to fly with American Airlines again due to this experience. Their customer service team tries to push you off to the next person/airport, and nobody is willing to accommodate your needs. American Airlines fails to open up to their mistakes, which is why I will not be flying with them again. Avoid this airline at all cost.",False,,Couple Leisure,Economy Class,Phoenix to Pittsburgh,November 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
"""do my best to never fly on American Airlines""",1,2022-11-18,"Not Verified |  My flight to Bogota was fine. Uneventful. My return date was November 1st. I had an early flight from Cartegena to Bogota. This was with another airline. I had about an hour after arrival in Bogota to go from national to international area. Due to this being an international flight I could not get an e-ticket or do any pre-boarding. I arrived at the AA counter and was the only person in line. There was one agent. He ignored me and walked away. Unfortunately I do not speak Spanish. While standing at the AA counter I received notification my flight was boarding. I went to Immigration to ask for assistance. I was walked from one end of the airport to the other. Finally, I was told where there would be AA agents to assist me. An agent by the name of Verantina spoke with my son and daughter-in-law. I could see the agent getting frustrated and actually throwing her pen down but did not know what was being said. She handed me my phone back with a forced smile. I asked my son what was going on and he said she will not help you. He was told it isn't American Airlines' fault that I missed my flight. I am not trying to blame AA for my missed flight, I needed assistance in getting home! I never in my life experienced an airline whose agents did not try at all to assist their customers. Verantina was fine with leaving me stranded in a foreign country. No options. I sat down and cried. My son finally found another airline that could get me back home and purchased my ticket. I will do my best to never fly on American Airlines if I avoid it.",False,,Solo Leisure,Economy Class,Greenville–Spartanburg to Bogota,October 2022,3,2,"<span class=""star fill"">1</span>",1,2,,,False
"""cabin crew was terrific""",8,2022-11-17,"Not Verified |  The in-flight entertainment system was broken for the 9 hour flight. Was broken in business class too. I purchased the WiFi access to use my mobile device to stay busy. But the food was great, cabin crew was terrific, and you made up for it by pro-actively re-booking my connection in ORD to a flight that I could actually make. Well done.",False,Boeing 787 ,Solo Leisure,Economy Class,Paris CDG to Chicago,November 2022,4,5,"<span class=""star fill"">1</span>",4,4,,2,True
"""Absolutely terrible""",1,2022-11-16,"Absolutely terrible. First they delay the flight for multiple hours, then they change the gate without notifying my wife or I, then they try to claim that they called our names over the loud-speaker which they absolutely did not. We barely made the flight. Never flying with them again and I suggest you do the same.",True,,Couple Leisure,Economy Class,Salt Lake City to Phoenix,November 2022,1,2,"<span class=""star fill"">1</span>",1,3,,1,False
"""most generic and annoying email replies""",1,2022-11-15,"This is the absolute worst airline I have ever corresponded with. The staff on call is rude and impatient. I had booked a flight with a friend which got cancelled due to Covid. They gave us credits at the time. Later on when we tried to book our flights, she got her credits and I didn't. I told them this is ridiculous how can you treat two people in the exact same position differently and all I got was long holds on call and the most generic and annoying email replies of my life. NEVER FLY AA!!",True,,Solo Leisure,Economy Class,San Francisco to Washington DC,January 2022,1,1,,1,1,,,False
"""demanding I bag and tag it""",1,2022-11-15,"Most of my grievances are specifically with the Charlotte/Douglas Airport American Airlines employees. The outward bound trip had almost a 3 hour delay getting on our connection flight from there to Nashville ... this was after the first long leg flight from Germany to Charlotte, so we already had a 3 hour layover as we had to customs in NC and collect our bag and bring it for drop off to our connection flight to Nashville. After doing all that we end up being delayed almost 3 hours (so 6 hours total at this Airport). We could have rented a car and driven to Nashville in that timeframe which we would have preferred honestly because then maybe our toddler would have gotten some sleep. Once we finally made it to Nashville the baggage crew had us waiting almost an hour for our bags. Now coming back to Germany trip is where it gets worse. Nashville flight to Charlotte everything was fine with exception the plane we had this time had like micro storage above that no one could fit their carry on bags which caused a lot of bag drop off and pick up at flight gate and of course our travel stroller is the last item that comes out getting off that flight in Charlotte NC to transfer to our connection to Frankfurt Germany. At that gate (D9 specifically) in Charlotte NC is where I was having to deal with the very rude woman at the gate and that's where I'm positive I also ended up leaving behind my brand new jacket while I was being rudely talked down to and ultimately had to just walk away to avoid further confrontation with this American Airlines employee. This all started with boarding the gate when the woman employee requested I fold down my stroller, so she could check its size in the metal carry on baggage thing they have near gate. Ok no problem I'm confident we will not have an issue as it's the same plane we took coming here and I know the travel stroller fits in the overhead with no issues (Joolz Aer -specifically super lightweight and compact for airplane travel). My husband and child continue boarding as we have a carseat to install and need the time to do this, so I'm standing there with my stroller on the measuring thing and it fits perfectly when she started telling me no it's too big and comes right on the max line for size and demanding I bag and tag it. I question her on this and said it was no issue coming here and fit fine to which I'm told, ""I don't care what they let you do on that flight you're not allowed to bring that stroller as a carry on because I say it wont fit and I just told some first class couple the same too about their stroller, so if they can't bring it neither are you!"". OK wow, so I tell her my husband has the travel bag in the carry on suitcase and I need to leave and get on the plane to get it from him and I'll be right back then to which I'm getting all this attitude from her and she began saying things like well that's not my problem I didn't tell him could go ahead and board. I quickly board and get the travel bag from my husband and run back out to the gate entrance to bag and tag the stroller. While doing this I sit down my jacket close by and then become rushed by an different attendant about tagging the bag. I ask her to give me a minute bag it and she sticks on the tag and hands me my receipt and tells me to bring it the gate drop off where I saw someone else leave their stroller near plane entrance. I pick it up and turn to grab by jacket when I'm suddenly screamed at.",True,,Family Leisure,Economy Class,Frankfurt to Nashville via Charlotte ,November 2022,1,2,"<span class=""star fill"">3</span>",1,1,,2,False
"""as usual delayed the flight""",1,2022-11-14,American Airlines as usual delayed the flight by more than 1 hour and it is my first connecting flight and it got delayed by more than 1 hour. All other airlines should simply break ties with AA and don't choose AA as connecting flight. Worst airline of the century when it comes to on time performance. Go AA only if you don't care for time & have no dependency on arrival time.,True,A319,Solo Leisure,Economy Class,Tampa to Philadelphia,November 2022,1,1,"<span class=""star fill"">1</span>",1,1,,1,False
